"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"11.04.2024","127.502","127.945","128.315","127.160","88,86K","-0,54%"
"10.04.2024","128.195","130.170","131.400","127.920","145,27K","-1,57%"
"09.04.2024","130.237","129.305","130.365","129.230","103,72K","0,78%"
"08.04.2024","129.228","127.325","129.560","127.015","84,94K","1,68%"
"05.04.2024","127.093","127.995","128.600","126.740","111,90K","-0,62%"
"04.04.2024","127.886","127.900","130.105","127.555","198,25K","0,07%"
"03.04.2024","127.791","127.615","128.205","126.600","109,93K","-0,17%"
"02.04.2024","128.009","127.590","128.160","127.100","85,63K","0,40%"
"01.04.2024","127.504","128.830","129.260","127.310","91,24K","-1,00%"
"28.03.2024","128.794","127.985","129.010","127.820","67,14K","0,32%"
"27.03.2024","128.382","127.830","128.480","126.840","81,39K","0,57%"
"26.03.2024","127.656","127.685","127.925","127.105","71,79K","-0,02%"
"25.03.2024","127.685","127.800","127.950","127.295","65,78K","-0,07%"
"22.03.2024","127.780","128.910","128.910","127.625","97,94K","-1,00%"
"21.03.2024","129.072","130.315","130.500","128.840","79,89K","-0,78%"
"20.03.2024","130.092","128.450","130.630","128.175","110,41K","1,21%"
"19.03.2024","128.542","127.845","128.980","127.610","82,66K","0,51%"
"18.03.2024","127.894","128.000","128.585","127.270","78,45K","0,09%"
"15.03.2024","127.774","128.885","129.065","127.450","82,00K","-0,84%"
"14.03.2024","128.857","129.365","129.410","128.275","89,52K","-0,37%"
"13.03.2024","129.330","128.990","129.740","128.490","71,89K","0,28%"
"12.03.2024","128.969","127.655","129.325","127.615","117,07K","1,18%"
"11.03.2024","127.465","127.615","128.235","127.245","119,13K","-0,70%"
"08.03.2024","128.367","127.535","128.880","127.125","145,27K","-1,03%"
"07.03.2024","129.697","130.550","130.660","129.375","78,25K","-0,49%"
"06.03.2024","130.340","130.180","130.770","129.890","82,70K","0,57%"
"05.03.2024","129.596","129.660","130.520","129.275","76,34K","-0,20%"
"04.03.2024","129.856","130.655","130.870","129.735","59,25K","-0,70%"
"01.03.2024","130.772","130.995","131.305","130.235","70,89K","0,10%"
"29.02.2024","130.638","132.135","132.265","130.265","102,87K","-0,87%"
"28.02.2024","131.785","132.900","133.080","131.435","89,83K","-1,31%"
"27.02.2024","133.534","131.885","133.590","131.710","85,78K","1,61%"
"26.02.2024","131.423","131.260","131.780","130.865","53,68K","0,16%"
"23.02.2024","131.216","132.200","132.480","130.860","76,66K","-0,62%"
"22.02.2024","132.029","132.900","133.005","131.825","73,61K","0,04%"
"21.02.2024","131.981","131.555","132.250","131.225","71,34K","0,00%"
"20.02.2024","131.977","130.400","132.055","130.085","80,39K","0,77%"
"19.02.2024","130.972","130.540","131.100","130.085","36,75K","0,13%"
"16.02.2024","130.801","130.200","131.165","129.695","83,82K","0,74%"
"15.02.2024","129.846","129.500","129.925","128.985","68,55K","2,36%"
"14.02.2024","126.852","127.180","127.600","126.720","9,60K","-0,99%"
"09.02.2024","128.118","128.480","129.015","127.580","79,86K","-0,08%"
"08.02.2024","128.221","129.900","130.190","127.970","113,69K","-1,44%"
"07.02.2024","130.096","130.820","130.820","129.565","89,26K","-0,55%"
"06.02.2024","130.820","128.000","131.100","127.905","114,10K","2,32%"
"05.02.2024","127.851","127.355","128.070","126.610","80,68K","0,29%"
"02.02.2024","127.476","128.820","129.200","126.860","124,26K","-1,03%"
"01.02.2024","128.799","128.490","128.940","127.545","114,41K","0,50%"
"31.01.2024","128.162","127.600","130.050","127.520","145,33K","0,26%"
"30.01.2024","127.836","128.820","129.255","127.500","90,31K","-0,86%"
"29.01.2024","128.946","129.695","129.695","128.330","80,61K","-0,39%"
"26.01.2024","129.456","129.155","129.800","128.375","101,34K","0,54%"
"25.01.2024","128.760","128.650","129.310","128.405","99,94K","0,30%"
"24.01.2024","128.378","129.755","130.215","128.255","152,86K","-0,50%"
"23.01.2024","129.026","127.505","129.145","127.500","130,09K","1,40%"
"22.01.2024","127.243","128.485","128.640","126.575","138,14K","-0,97%"
"19.01.2024","128.483","128.650","128.890","127.300","123,86K","0,25%"
"18.01.2024","128.163","129.750","130.195","128.050","154,17K","-0,95%"
"17.01.2024","129.393","129.590","130.160","128.990","127,06K","-0,63%"
"16.01.2024","130.208","131.975","132.030","130.015","180,81K","-1,86%"
"15.01.2024","132.680","131.755","132.820","131.265","73,85K","0,43%"
"12.01.2024","132.107","131.550","133.030","131.390","105,16K","0,22%"
"11.01.2024","131.817","131.945","132.425","130.960","133,68K","-0,12%"
"10.01.2024","131.976","132.560","133.045","131.600","96,97K","-0,55%"
"09.01.2024","132.711","133.425","133.490","132.365","101,64K","-0,81%"
"08.01.2024","133.794","132.900","134.040","132.310","92,55K","0,28%"
"05.01.2024","133.414","132.315","134.040","131.840","137,37K","0,61%"
"04.01.2024","132.609","134.555","134.595","132.395","123,66K","-1,33%"
"03.01.2024","134.398","134.025","135.150","133.620","116,81K","0,14%"
"02.01.2024","134.206","135.200","135.345","133.555","103,75K","-1,17%"
"28.12.2023","135.790","135.870","136.085","135.430","70,63K","-0,12%"
"27.12.2023","135.959","135.410","136.090","135.065","72,92K","0,43%"
